Date,Close
2024-07-08,46.220001220703125
2024-07-09,44.83000183105469
2024-07-10,45.83000183105469
2024-07-11,46.869998931884766
2024-07-12,49.08000183105469
2024-07-15,48.84000015258789
2024-07-16,49.2599983215332
2024-07-17,47.849998474121094
2024-07-18,46.81999969482422
2024-07-19,46.529998779296875
2024-07-22,48.0
2024-07-23,49.11000061035156
2024-07-24,48.86000061035156
2024-07-25,47.689998626708984
2024-07-26,48.810001373291016
2024-07-29,47.54999923706055
2024-07-30,46.7400016784668
2024-07-31,44.84000015258789
2024-08-01,43.31999969482422
2024-08-02,41.779998779296875
2024-08-05,40.040000915527344
2024-08-06,40.33000183105469
2024-08-07,39.060001373291016
2024-08-08,39.310001373291016
2024-08-09,38.959999084472656
2024-08-12,38.849998474121094
2024-08-13,40.349998474121094
2024-08-14,41.209999084472656
2024-08-15,42.7400016784668
2024-08-16,42.90999984741211
2024-08-19,43.4900016784668
2024-08-20,43.0099983215332
2024-08-21,44.02000045776367
2024-08-22,43.790000915527344
2024-08-23,45.33000183105469
2024-08-26,46.18000030517578
2024-08-27,46.88999938964844
2024-08-28,47.06999969482422
2024-08-29,47.16999816894531
2024-08-30,47.41999816894531
2024-09-03,45.70000076293945
2024-09-04,45.56999969482422
2024-09-05,45.34000015258789
2024-09-06,44.720001220703125
2024-09-09,44.470001220703125
2024-09-10,43.31999969482422
2024-09-11,43.529998779296875
2024-09-12,44.59000015258789
2024-09-13,44.91999816894531
2024-09-16,46.72999954223633
2024-09-17,47.33000183105469
2024-09-18,47.86000061035156
2024-09-19,49.02000045776367
2024-09-20,47.40999984741211
2024-09-23,46.7400016784668
2024-09-24,47.5
2024-09-25,47.79999923706055
2024-09-26,49.5099983215332
2024-09-27,50.09000015258789
2024-09-30,49.41999816894531
2024-10-01,48.77000045776367
2024-10-02,47.83000183105469
2024-10-03,46.630001068115234
2024-10-04,46.7599983215332
2024-10-07,46.45000076293945
2024-10-08,46.119998931884766
2024-10-09,46.060001373291016
2024-10-10,45.400001525878906
2024-10-11,45.599998474121094
2024-10-14,45.290000915527344
2024-10-15,44.439998626708984
2024-10-16,45.38999938964844
2024-10-17,43.41999816894531
2024-10-18,44.349998474121094
2024-10-21,44.20000076293945
2024-10-22,44.540000915527344
2024-10-23,46.650001525878906
2024-10-24,45.86000061035156
2024-10-25,45.84000015258789
2024-10-28,45.290000915527344
2024-10-29,44.709999084472656
2024-10-30,50.06999969482422
2024-10-31,51.5
2024-11-01,51.459999084472656
2024-11-04,51.75
2024-11-05,51.81999969482422
2024-11-06,53.209999084472656
2024-11-07,53.45000076293945
2024-11-08,52.38999938964844
2024-11-11,52.310001373291016
2024-11-12,50.65999984741211
2024-11-13,50.9900016784668
2024-11-14,50.349998474121094
2024-11-15,51.65999984741211
2024-11-18,53.439998626708984
2024-11-19,53.15999984741211
2024-11-20,55.70000076293945
2024-11-21,56.369998931884766
2024-11-22,56.63999938964844
2024-11-25,56.25
2024-11-26,55.529998779296875
2024-11-27,54.7599983215332
2024-11-29,55.02000045776367
2024-12-02,55.11000061035156
