Price,Adj Close,Close,High,Low,Open,Volume
Ticker,JNJ,JNJ,JNJ,JNJ,JNJ,JNJ
Date,,,,,,
2010-01-04 00:00:00+00:00,41.65567398071289,64.68000030517578,64.98999786376953,64.41000366210938,64.70999908447266,9506200
2010-01-05 00:00:00+00:00,41.172664642333984,63.93000030517578,64.62000274658203,63.81999969482422,64.58000183105469,10673100
2010-01-06 00:00:00+00:00,41.5075569152832,64.44999694824219,64.54000091552734,63.83000183105469,63.900001525878906,13171500
2010-01-07 00:00:00+00:00,41.21129608154297,63.9900016784668,64.3499984741211,63.7400016784668,64.25,10901600
2010-01-08 00:00:00+00:00,41.352970123291016,64.20999908447266,64.26000213623047,63.630001068115234,63.91999816894531,7898000
2010-01-11 00:00:00+00:00,41.35943603515625,64.22000122070312,64.75,64.01000213623047,64.75,7975700
2010-01-12 00:00:00+00:00,41.578407287597656,64.55999755859375,64.72000122070312,64.0199966430664,64.12999725341797,10820700
2010-01-13 00:00:00+00:00,41.84244918823242,64.97000122070312,65.2300033569336,64.54000091552734,64.54000091552734,13023800
2010-01-14 00:00:00+00:00,41.92618179321289,65.0999984741211,65.2699966430664,64.75,65.19999694824219,7899000
2010-01-15 00:00:00+00:00,41.578407287597656,64.55999755859375,65.19999694824219,63.97999954223633,65.13999938964844,20995000
2010-01-19 00:00:00+00:00,42.08716583251953,65.3499984741211,65.75,64.11000061035156,64.13999938964844,15181800
2010-01-20 00:00:00+00:00,41.9583854675293,65.1500015258789,65.94999694824219,64.47000122070312,65.47000122070312,13033000
2010-01-21 00:00:00+00:00,41.19841766357422,63.970001220703125,65.47000122070312,63.79999923706055,65.06999969482422,14473900
2010-01-22 00:00:00+00:00,40.70252227783203,63.20000076293945,64.19000244140625,63.09000015258789,63.90999984741211,14017200
2010-01-25 00:00:00+00:00,40.71540832519531,63.220001220703125,63.70000076293945,63.04999923706055,63.66999816894531,10001700
2010-01-26 00:00:00+00:00,40.4384651184082,62.790000915527344,63.0099983215332,62.220001220703125,62.63999938964844,15630300
2010-01-27 00:00:00+00:00,40.85710144042969,63.439998626708984,63.720001220703125,62.70000076293945,62.779998779296875,14982400
2010-01-28 00:00:00+00:00,41.08893585205078,63.79999923706055,64.06999969482422,63.040000915527344,63.56999969482422,17096000
2010-01-29 00:00:00+00:00,40.483558654785156,62.86000061035156,64.2699966430664,62.81999969482422,63.95000076293945,17844400
2010-02-01 00:00:00+00:00,40.63167953491211,63.09000015258789,63.2599983215332,62.77000045776367,63.2599983215332,10153400
2010-02-02 00:00:00+00:00,41.21129608154297,63.9900016784668,64.19999694824219,62.630001068115234,63.20000076293945,13609300
2010-02-03 00:00:00+00:00,40.97945785522461,63.630001068115234,63.869998931884766,63.290000915527344,63.869998931884766,9255900
2010-02-04 00:00:00+00:00,40.34185791015625,62.63999938964844,63.619998931884766,62.619998931884766,63.4900016784668,18397000
2010-02-05 00:00:00+00:00,40.34185791015625,62.63999938964844,63.599998474121094,61.88999938964844,62.689998626708984,16775200
2010-02-08 00:00:00+00:00,40.16798400878906,62.369998931884766,62.97999954223633,62.2599983215332,62.5,10081200
2010-02-09 00:00:00+00:00,40.41914749145508,62.7599983215332,63.470001220703125,62.470001220703125,62.54999923706055,11356400
2010-02-10 00:00:00+00:00,40.39982604980469,62.72999954223633,63.06999969482422,62.209999084472656,62.790000915527344,10115800
2010-02-11 00:00:00+00:00,40.5157585144043,62.90999984741211,63.209999084472656,62.2599983215332,62.619998931884766,8353600
2010-02-12 00:00:00+00:00,40.39339828491211,62.720001220703125,63.0,62.11000061035156,62.61000061035156,12335800
2010-02-16 00:00:00+00:00,40.966575622558594,63.61000061035156,63.709999084472656,62.81999969482422,63.25,10212400
2010-02-17 00:00:00+00:00,41.20486831665039,63.97999954223633,64.36000061035156,63.61000061035156,63.630001068115234,9485500
2010-02-18 00:00:00+00:00,41.5590705871582,64.52999877929688,64.69999694824219,63.95000076293945,63.97999954223633,8260600
