Date,Close
2013-06-27,18.3700008392334
2013-06-28,18.6200008392334
2013-07-01,18.34000015258789
2013-07-02,19.21999931335449
2013-07-03,19.07999992370605
2013-07-05,19.21999931335449
2013-07-08,19.229999542236328
2013-07-09,19.5
2013-07-10,19.100000381469727
2013-07-11,19.57999992370605
2013-07-12,19.51000022888184
2013-07-15,19.559999465942383
2013-07-16,20.100000381469727
2013-07-17,20.3700008392334
2013-07-18,20.82999992370605
2013-07-19,20.84000015258789
2013-07-22,20.34000015258789
2013-07-23,20.21999931335449
2013-07-24,20.56999969482422
2013-07-25,21.979999542236328
2013-07-26,21.59000015258789
2013-07-29,21.700000762939453
2013-07-30,21.600000381469727
2013-07-31,21.5
2013-08-01,21.65999984741211
2013-08-02,22.43000030517578
2013-08-05,22.790000915527344
2013-08-06,22.809999465942383
2013-08-07,22.950000762939453
2013-08-08,23.06999969482422
2013-08-09,23.049999237060547
2013-08-12,23.15999984741211
2013-08-13,23.399999618530277
2013-08-14,23.36000061035156
2013-08-15,23.0
2013-08-16,23.049999237060547
2013-08-19,23.09000015258789
2013-08-20,23.11000061035156
2013-08-21,23.030000686645508
2013-08-22,23.01000022888184
2013-08-23,23.270000457763672
2013-08-26,22.979999542236328
2013-08-27,22.21999931335449
2013-08-28,21.979999542236328
2013-08-29,22.07999992370605
2013-08-30,21.93000030517578
2013-09-03,22.530000686645508
2013-09-04,23.01000022888184
2013-09-05,23.31999969482422
2013-09-06,23.239999771118164
2013-09-09,22.959999084472656
2013-09-10,23.030000686645508
2013-09-11,23.420000076293945
2013-09-12,23.09000015258789
2013-09-13,23.5
2013-09-16,23.8700008392334
2013-09-17,23.229999542236328
2013-09-18,23.790000915527344
2013-09-19,23.459999084472656
2013-09-20,22.88999938964844
2013-09-23,23.86000061035156
2013-09-24,24.299999237060547
2013-09-25,24.1299991607666
2013-09-26,23.989999771118164
2013-09-27,23.979999542236328
2013-09-30,22.82999992370605
2013-10-01,23.200000762939453
2013-10-02,22.780000686645508
2013-10-03,23.31999969482422
2013-10-04,23.350000381469727
