Date,Close
2012-10-12,17.5
2012-10-15,17.75
2012-10-16,17.790000915527344
2012-10-17,17.700000762939453
2012-10-18,17.700000762939453
2012-10-19,17.40999984741211
2012-10-22,17.030000686645508
2012-10-23,17.1299991607666
2012-10-24,17.389999389648438
2012-10-25,17.030000686645508
2012-10-26,17.139999389648438
2012-10-31,17.030000686645508
2012-11-01,17.229999542236328
2012-11-02,17.0
2012-11-05,16.709999084472656
2012-11-06,17.010000228881836
2012-11-07,17.059999465942383
2012-11-08,16.75
2012-11-09,16.549999237060547
2012-11-12,16.5
2012-11-13,16.040000915527344
2012-11-14,16.049999237060547
2012-11-15,16.700000762939453
2012-11-16,16.81999969482422
2012-11-19,17.1200008392334
2012-11-20,17.1299991607666
2012-11-21,17.200000762939453
2012-11-23,17.31999969482422
2012-11-26,17.260000228881836
2012-11-27,17.229999542236328
2012-11-28,17.25
2012-11-29,18.15999984741211
2012-11-30,18.0
2012-12-03,18.100000381469727
2012-12-04,17.829999923706055
2012-12-05,17.979999542236328
2012-12-06,17.6200008392334
2012-12-07,17.75
2012-12-10,17.6200008392334
2012-12-11,17.540000915527344
2012-12-12,17.639999389648438
2012-12-13,17.8799991607666
2012-12-14,17.56999969482422
2012-12-17,17.979999542236328
2012-12-18,18.799999237060547
2012-12-19,19.18000030517578
2012-12-20,19.020000457763672
2012-12-21,18.979999542236328
2012-12-24,18.63999938964844
2012-12-26,18.649999618530277
2012-12-27,18.540000915527344
2012-12-28,18.780000686645508
2012-12-31,19.1200008392334
2013-01-02,19.239999771118164
2013-01-03,19.13999938964844
2013-01-04,20.049999237060547
2013-01-07,20.770000457763672
2013-01-08,20.600000381469727
2013-01-09,20.46999931335449
2013-01-10,21.6299991607666
2013-01-11,21.670000076293945
2013-01-14,21.799999237060547
2013-01-15,21.71999931335449
2013-01-16,21.280000686645508
2013-01-17,21.1200008392334
2013-01-18,20.540000915527344
2013-01-22,21.790000915527344
2013-01-23,21.43000030517578
2013-01-24,21.43000030517578
2013-01-25,22.0
2013-01-28,21.63999938964844
2013-01-29,22.1299991607666
2013-01-30,22.670000076293945
2013-01-31,22.420000076293945
2013-02-01,22.700000762939453
2013-02-04,22.540000915527344
2013-02-05,22.6299991607666
2013-02-06,22.6299991607666
2013-02-07,22.420000076293945
2013-02-08,22.049999237060547
2013-02-11,21.559999465942383
2013-02-12,21.56999969482422
2013-02-13,21.559999465942383
2013-02-14,22.0
2013-02-15,22.299999237060547
2013-02-19,22.81999969482422
2013-02-20,21.280000686645508
2013-02-21,20.729999542236328
2013-02-22,20.979999542236328
2013-02-25,19.739999771118164
2013-02-26,20.049999237060547
2013-02-27,20.959999084472656
2013-02-28,22.709999084472656
2013-03-01,22.34000015258789
2013-03-04,22.38999938964844
2013-03-05,23.700000762939453
2013-03-06,23.549999237060547
2013-03-07,24.51000022888184
2013-03-08,24.899999618530277
2013-03-11,24.489999771118164
2013-03-12,24.93000030517578
2013-03-13,25.75
2013-03-14,24.86000061035156
2013-03-15,24.149999618530277
2013-03-18,23.989999771118164
2013-03-19,23.76000022888184
2013-03-20,24.0
2013-03-21,24.309999465942383
2013-03-22,24.549999237060547
2013-03-25,25.200000762939453
2013-03-26,25.649999618530277
2013-03-27,26.11000061035156
2013-03-28,26.84000015258789
2013-04-01,27.399999618530277
2013-04-02,27.040000915527344
2013-04-03,24.920000076293945
2013-04-04,25.049999237060547
2013-04-05,25.18000030517578
2013-04-08,26.049999237060547
2013-04-09,26.76000022888184
2013-04-10,26.07999992370605
2013-04-11,26.5
2013-04-12,26.6299991607666
2013-04-15,25.799999237060547
2013-04-16,26.739999771118164
2013-04-17,25.799999237060547
2013-04-18,26.51000022888184
2013-04-19,26.21999931335449
2013-04-22,26.979999542236328
2013-04-23,27.489999771118164
2013-04-24,27.100000381469727
2013-04-25,27.299999237060547
2013-04-26,26.8799991607666
2013-04-29,26.040000915527344
2013-04-30,26.26000022888184
2013-05-01,26.440000534057617
2013-05-02,27.100000381469727
2013-05-03,27.479999542236328
2013-05-06,28.76000022888184
2013-05-07,28.540000915527344
2013-05-08,29.530000686645508
2013-05-09,28.68000030517578
2013-05-10,28.57999992370605
2013-05-13,28.65999984741211
2013-05-14,28.8700008392334
2013-05-15,29.479999542236328
2013-05-16,29.940000534057617
2013-05-17,31.43000030517578
2013-05-20,32.029998779296875
2013-05-21,31.709999084472656
2013-05-22,32.540000915527344
2013-05-23,33.27000045776367
2013-05-24,34.31999969482422
2013-05-28,34.95000076293945
2013-05-29,34.959999084472656
2013-05-30,34.95000076293945
2013-05-31,33.77000045776367
2013-06-03,34.599998474121094
2013-06-04,34.08000183105469
2013-06-05,33.939998626708984
2013-06-06,34.58000183105469
2013-06-07,35.45000076293945
2013-06-10,34.7400016784668
2013-06-11,34.459999084472656
2013-06-12,34.43000030517578
2013-06-13,34.970001220703125
2013-06-14,34.88999938964844
2013-06-17,34.45000076293945
2013-06-18,35.0099983215332
2013-06-19,34.61000061035156
2013-06-20,32.63999938964844
2013-06-21,33.150001525878906
2013-06-24,32.02000045776367
2013-06-25,32.91999816894531
2013-06-26,33.650001525878906
2013-06-27,33.060001373291016
2013-06-28,33.31999969482422
2013-07-01,34.27000045776367
2013-07-02,34.560001373291016
2013-07-03,35.20000076293945
2013-07-05,35.88999938964844
2013-07-08,36.09999847412109
2013-07-09,36.5
2013-07-10,37.15999984741211
2013-07-11,37.59999847412109
2013-07-12,37.25
2013-07-15,37.27000045776367
2013-07-16,37.709999084472656
2013-07-17,37.65999984741211
2013-07-18,38.08000183105469
2013-07-19,39.36000061035156
2013-07-22,39.470001220703125
2013-07-23,38.790000915527344
2013-07-24,37.40999984741211
2013-07-25,37.75
2013-07-26,37.470001220703125
2013-07-29,37.66999816894531
2013-07-30,37.83000183105469
2013-07-31,38.18000030517578
2013-08-01,42.61000061035156
2013-08-02,42.650001525878906
2013-08-05,43.09999847412109
2013-08-06,42.20000076293945
2013-08-07,42.2400016784668
2013-08-08,42.09000015258789
2013-08-09,42.2400016784668
2013-08-12,42.08000183105469
2013-08-13,42.09000015258789
2013-08-14,40.45000076293945
2013-08-15,39.790000915527344
2013-08-16,40.5
2013-08-19,39.34999847412109
2013-08-20,39.27999877929688
2013-08-21,39.220001220703125
2013-08-22,39.34999847412109
2013-08-23,40.119998931884766
2013-08-26,40.0
2013-08-27,39.88999938964844
2013-08-28,41.5
2013-08-29,40.43999862670898
